del_avg_size	del_count	file	gap_freq	gaps_per_seq	ins_avg_size	ins_count	nchar	ntax	prop_invar	species
15	3	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-4/11095530-376911-40-subtree-replicated.fa	0.0188888888888889	3.4	0	0	180	10	0.772222222222222	30594,9572,54131,37293,9505,292213,310934,75569,9530,143354
6	3	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-4/110611710-9526-831-subtree-replicated.fa	0.0632768361581921	11.2	10	1	177	5	0.943502824858757	9509,356665,752538,9525,70825
3.5	3	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-4/100290422-9443-1498-subtree-replicated.fa	0.00674807197943445	2.625	0	0	389	8	0.93573264781491	30598,30589,29089,57374,36226,373033,261734,37293
36.3333333333333	6	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-4/11275634-9526-445-subtree-replicated.fa	0.182177100958827	71.7777777777778	22.6666666666667	3	394	9	0.916243654822335	342807,867334,70814,261739,9472,9572,36226,9538,554167
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-4/11275634-542827-6-subtree-replicated.fa	0	0	0	0	318	2	1	1090896,867332
21.6	6	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-4/109723017-314293-531-subtree-replicated.fa	0.051219512195122	21	0	0	410	6	0.958536585365854	9598,75566,415757,30608,236275,693712
7	2	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-4/100290544-9526-610-subtree-replicated.fa	0.00825471698113208	4.375	1	1	530	8	0.973584905660377	30598,30589,29089,57374,36226,373033,261734,37293
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-4/11065801-9526-446-subtree-replicated.fa	0.214497920380273	84.9411764705882	35.5	3	396	17	0.954545454545455	9555,989338,379532,867332,70814,342401,9460,9502,310934,290597,9493,198702,57377,57375,236275,30608,89672
4	6	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-4/100290484-9526-608-subtree-replicated.fa	0.00603864734299517	3.75	1	2	621	8	0.776167471819646	30598,30589,29089,57374,36226,373033,261734,37293
1	3	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-4/114224851-376913-641-subtree-replicated.fa	0.00226928895612708	1.5	0	0	661	2	0.990922844175492	666519,867332
3.6	8	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-4/100290437-9526-606-subtree-replicated.fa	0.129901039709382	115.222222222222	31.5	3	887	9	0.924464487034949	662464,867332,174599,9551,356666,34828,170207,236274,143351
1.5	2	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-4/100290459-9526-607-subtree-replicated.fa	0.0100138121546961	7.25	3.5	3	724	8	0.915745856353591	30598,30589,29089,57374,36226,373033,261734,37293
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-4/114223843-122245-2-subtree-replicated.fa	0	0	0	0	563	3	0.923623445825932	255237,1090896,867332
86	2	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-4/112443169-9528-109-subtree-replicated.fa	0.170915032679739	130.75	63	1	765	4	0.986928104575163	693984,9463,867377,36229
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-4/10442522-9462-14-subtree-replicated.fa	0	0	0	0	939	2	0.998935037273695	666519,867332
25.4	15	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-4/114224873-9533-15-subtree-replicated.fa	0.266952177016417	124.666666666667	0	0	467	3	0.798715203426124	255237,1090896,867332
31	2	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-4/114224808-314293-572-subtree-replicated.fa	0.0518394648829431	31	0	0	598	2	0.981605351170569	666519,867332
1	1	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-4/114225035-9528-267-subtree-replicated.fa	0.00200803212851406	0.5	0	0	249	2	0.995983935742972	666519,867332
3	3	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-4/100290397-314293-948-subtree-replicated.fa	0.149482109227872	158.75	21.3333333333333	5	1062	8	0.918079096045198	499232,9515,170207,143353,30608,9590,100487,147650
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-4/114225164-9528-273-subtree-replicated.fa	0	0	0	0	221	2	0.995475113122172	666519,867332
13	6	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-4/114224906-9533-17-subtree-replicated.fa	0.0405405405405405	27	0	0	666	2	0.87987987987988	1090896,867332
11	3	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-4/114224907-9533-169-subtree-replicated.fa	0.0245535714285714	16.5	0	0	672	2	0.980654761904762	1090896,867332
1	1	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-4/114224928-376913-650-subtree-replicated.fa	0.000822368421052632	0.5	0	0	608	2	0.978618421052632	1090896,867332
5	2	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-4/114225038-314294-268-subtree-replicated.fa	0.015625	10	5	1	640	2	0.990625	1090896,867332
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-4/114225005-376913-653-subtree-replicated.fa	0	0	0	0	690	2	0.991304347826087	1090896,867332
203.666666666667	3	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-4/11065802-314293-442-subtree-replicated.fa	0.487074829931973	392.095238095238	135.666666666667	3	805	21	0.967701863354037	662464,36229,9555,30598,34825,70814,182253,121123,9519,261732,1194336,9530,236272,548481,236274,236275,143352,9598,460675,9568,310352
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-4/115371785-9526-1000-subtree-replicated.fa	0	0	0	0	270	2	0.911111111111111	1090896,867332
16.6666666666667	9	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-4/114224988-314293-575-subtree-replicated.fa	0.126348228043143	82	28	2	649	3	0.893682588597843	255237,1090896,867332
5	4	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-4/114225014-9528-266-subtree-replicated.fa	0.0110803324099723	8	0	0	722	2	0.983379501385042	1090896,867332
19.8571428571429	13	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-4/114225100-9533-22-subtree-replicated.fa	0.13	78	2	2	600	3	0.923333333333333	255237,1090896,867332
1	3	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-4/114225256-376913-585-subtree-replicated.fa	0.00568181818181818	1.5	0	0	264	2	0.992424242424242	1090896,867332
16.25	4	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-4/114225018-9528-165-subtree-replicated.fa	0.117732558139535	81	29.6666666666667	3	688	3	0.95203488372093	255237,1090896,867332
4	2	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-4/114225203-9533-45-subtree-replicated.fa	0.00692041522491349	4	0	0	578	2	0.987889273356401	666519,867332
