avg_dist	del_avg_size	del_count	file	gap_freq	gaps_per_seq	ident_pairs	ins_avg_size	ins_count	nchar	ntax	prop_invar	species
0.0280710172744721	1	1	/gulo/glob/hannesh/git/phylo-primates-sim/results/PRIMATES-2/115606173-9479-108-subtree-replicated.fa	0.00143575017946877	0.285714285714286	0	0	0	199	7	0.919597989949749	9460,90384,9544,30586,9490,29089,864581
0.0163078930202218	0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/PRIMATES-2/117627056-9443-23-subtree-replicated.fa	0	0	0	0	0	292	7	0.962328767123288	9463,460675,9510,129801,61852,122232,90383
0.0917045263335016	0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/PRIMATES-2/117627087-314293-374-subtree-replicated.fa	0	0	0	0	0	283	7	0.773851590106007	9463,460675,9510,129801,61852,122232,90383
0.0419426048565121	0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/PRIMATES-2/118480628-314295-416-subtree-replicated.fa	0	0	0	0	0	453	3	0.940397350993378	43777,30598,595220
0.00987224157955868	3	2	/gulo/glob/hannesh/git/phylo-primates-sim/results/PRIMATES-2/114225203-9533-45-subtree-replicated.fa	0.00346020761245675	2	0	0	0	578	3	0.987889273356401	9495,9508,9600
0.0268079800498753	2	4	/gulo/glob/hannesh/git/phylo-primates-sim/results/PRIMATES-2/12667295-9526-154-subtree-replicated.fa	0.016969696969697	9.33333333333333	0	3	3	550	3	0.961818181818182	30589,182253,90385
0.057566765578635	1	2	/gulo/glob/hannesh/git/phylo-primates-sim/results/PRIMATES-2/114223843-122245-2-subtree-replicated.fa	0.00236406619385343	1.33333333333333	0	1	1	564	3	0.921985815602837	13557,31869,70927
0.0203804347826086	55.2	5	/gulo/glob/hannesh/git/phylo-primates-sim/results/PRIMATES-2/114224808-314293-572-subtree-replicated.fa	0.395061728395062	234.666666666667	0	0	0	594	3	0.984848484848485	9495,9508,9600
0.00794912559618444	7	5	/gulo/glob/hannesh/git/phylo-primates-sim/results/PRIMATES-2/114224851-376913-641-subtree-replicated.fa	0.0277357539082199	18.3333333333333	0	13	1	661	3	0.989409984871407	9495,9508,9600
0.00605143721633883	1	1	/gulo/glob/hannesh/git/phylo-primates-sim/results/PRIMATES-2/114225164-9528-273-subtree-replicated.fa	0.00150829562594268	0.333333333333333	1	0	0	221	3	0.990950226244344	9495,9508,9600
0.00623853211009173	50	4	/gulo/glob/hannesh/git/phylo-primates-sim/results/PRIMATES-2/12382835-9527-363-subtree-replicated.fa	0.216282894736842	65.75	1	0	0	304	8	0.983552631578947	261739,9495,57377,30611,9505,30594,9556,402888
0.0149750415973378	21	3	/gulo/glob/hannesh/git/phylo-primates-sim/results/PRIMATES-2/12699488-376912-24-subtree-replicated.fa	0.0637982195845697	43	0	23	1	674	3	0.980712166172107	9495,9508,9600
0.00268456375838921	1	1	/gulo/glob/hannesh/git/phylo-primates-sim/results/PRIMATES-2/114225035-9528-267-subtree-replicated.fa	0.00133868808567604	0.333333333333333	1	0	0	249	3	0.995983935742972	9495,9508,9600
0.0267748478701826	9	4	/gulo/glob/hannesh/git/phylo-primates-sim/results/PRIMATES-2/110611710-9526-831-subtree-replicated.fa	0.0357815442561205	6.33333333333333	1	0	0	177	6	0.954802259887006	9447,867377,43147,198627,70825,9525
0.0102739726027398	0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/PRIMATES-2/117627056-9527-201-subtree-replicated.fa	0	0	3	0	0	292	9	0.979452054794521	52232,34828,30602,9555,1126382,867366,9572,33548,66265
0.00981546917942677	0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/PRIMATES-2/117627087-9527-202-subtree-replicated.fa	0	0	3	0	0	283	9	0.975265017667845	52232,34828,30602,9555,1126382,867366,9572,33548,66265
0.0277227722772279	5.5	2	/gulo/glob/hannesh/git/phylo-primates-sim/results/PRIMATES-2/1276451-376913-224-subtree-replicated.fa	0.245056497175141	43.375	1	48	1	177	8	0.943502824858757	75569,27679,9488,867334,30601,9545,43147,9557
0.158949550794748	33.3333333333333	9	/gulo/glob/hannesh/git/phylo-primates-sim/results/PRIMATES-2/114224873-9533-15-subtree-replicated.fa	0.322854291417166	161.75	0	1	1	501	4	0.830339321357285	9509,9507,34825,379532
0.0424028268551236	4	4	/gulo/glob/hannesh/git/phylo-primates-sim/results/PRIMATES-2/13625451-9526-1012-subtree-replicated.fa	0.0325	3.25	0	0	0	100	4	0.93	88029,9510,864580,402239
